MJD	CSP_B_old	CSP_B_old_err	CSP_V9844	CSP_V9844_err	CSP_g_old	CSP_g_old_err	CSP_i_old	CSP_i_old_err	CSP_r_old	CSP_r_old_err	CSP_u_old	CSP_u_old_err
54148.40453125249	1.2146845678328589e-15	6.242783218145315e-16	1.7372178842855654e-15	4.739663185723508e-16	1.4785530444409587e-15	9.425465057255766e-16	1.1743812973524936e-15	2.4068283786846596e-16	1.7986774863020365e-15	4.699654611100102e-16	nan	nan
54148.45453125249	1.2136878118937265e-15	6.236483670258529e-16	1.7354530917932197e-15	4.734661815120334e-16	1.4768138741537289e-15	9.469472285468857e-16	1.1729889798410557e-15	2.418221436131689e-16	1.7961405521095138e-15	4.721947711421958e-16	nan	nan
54148.504531252496	1.2127022497737134e-15	6.228813298438016e-16	1.7336999660074735e-15	4.72860648158798e-16	1.4750832002510715e-15	9.512417225847757e-16	1.1716065938262416e-15	2.4293386022505026e-16	1.793617412810054e-15	4.743703042772302e-16	nan	nan
54148.5545312525	1.2117278942804887e-15	6.219774248667905e-16	1.7319584049646923e-15	4.721499014095138e-16	1.47336107443511e-15	9.55429876549372e-16	1.1702340495045947e-15	2.440179364900989e-16	1.7911080116204568e-15	4.764919650160476e-16	nan	nan
54148.6045312525	1.2107647576042678e-15	6.209368802135968e-16	1.7302283065335401e-15	4.713341360877555e-16	1.4716475476000836e-15	9.5951158473844e-16	1.1688712571514652e-15	2.450743232770782e-16	1.788612291820241e-15	4.785596617419905e-16	nan	nan
54148.654531252505	1.2098128513197003e-15	6.197599376160099e-16	1.7285095684118495e-15	4.704135590067545e-16	1.4699426698368962e-15	9.634867469892157e-16	1.1675181271193289e-15	2.4610297352583675e-16	1.786130196750663e-15	4.805733066991416e-16	nan	nan
54148.70453125251	1.2088721863877466e-15	6.18446852517992e-16	1.7268020881234145e-15	4.693883890363811e-16	1.4682464904376515e-15	9.673552686324513e-16	1.166174569836033e-15	2.471038422362817e-16	1.7836616698135716e-15	4.825328159716875e-16	nan	nan
54148.75453125251	1.20794277315753e-15	6.169978941814843e-16	1.7251057630147376e-15	4.682588571742106e-16	1.466559057900157e-15	9.71117060448469e-16	1.1648404958032086e-15	2.480768864578804e-16	1.7812066544705286e-15	4.84438109464372e-16	nan	nan
54148.804531252514	1.2070246213680412e-15	6.154133457988487e-16	1.72342049025183e-15	4.670252066208631e-16	1.4648804199322905e-15	9.747720386253115e-16	1.1635158155944994e-15	2.490220652797538e-16	1.7787650942416822e-15	4.862891108839753e-16	nan	nan
54148.85453125252	1.2061177401498715e-15	6.136935046122269e-16	1.7217461668170215e-15	4.656876928595134e-16	1.4632106234563884e-15	9.783201247189202e-16	1.1622004398539153e-15	2.4993933982132645e-16	1.7763369327047537e-15	4.880857477217589e-16	nan	nan
54148.90453125252	1.2052221380268752e-15	6.118386820397766e-16	1.7200826895056237e-15	4.642465837397513e-16	1.461549714613578e-15	9.817612456153133e-16	1.1608942792941344e-15	2.5082867322350897e-16	1.7739221134940273e-15	4.898279512369125e-16	nan	nan
54148.95453125252	1.2043378229177436e-15	6.098492038090126e-16	1.7184299549227944e-15	4.627021595659397e-16	1.4598977387679447e-15	9.850953334948296e-16	1.1595972446947982e-15	2.516900306404106e-16	1.771520580299306e-15	4.915156564409927e-16	nan	nan
