MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err
58057.3750000046	4.32600613802635e-16	4.93773230737278e-17	5.355395594557329e-16	2.7317583578979868e-17	4.840795160726089e-16	3.876425074846751e-17	2.3077285877075427e-16	9.891930092724157e-18	3.7102664823034034e-16	2.202942987411648e-17
58057.4250000046	4.335847882550335e-16	4.87863891053775e-17	5.352642294180634e-16	2.6989236177530767e-17	4.8427251892706685e-16	3.828073065292918e-17	2.305602667116761e-16	9.839429893034382e-18	3.7100310785830693e-16	2.1781153726021548e-17
58057.475000004604	4.3457000114890405e-16	4.812354065392304e-17	5.349901988166062e-16	2.6627007356706042e-17	4.844655413658717e-16	3.7744445147168983e-17	2.3034813822889345e-16	9.780472650321424e-18	3.7098127338148e-16	2.1508411476782278e-17
58057.52500000461	4.3555553406428774e-16	4.738874642553546e-17	5.347173208283647e-16	2.6231027284864196e-17	4.846582918034955e-16	3.7155394851409925e-17	2.301364171931085e-16	9.715323639513698e-18	3.7096090808848205e-16	2.1211431405887313e-17
58057.57500000461	4.3654066850802985e-16	4.658202041405907e-17	5.34445448624031e-16	2.5801483715110614e-17	4.848504785835393e-16	3.651363101355236e-17	2.2992504747081853e-16	9.644285355450501e-18	3.7094177526675577e-16	2.0890504469813116e-17
58057.62500000461	4.375246858938937e-16	4.5703425318027685e-17	5.341744353661653e-16	2.5338628751764832e-17	4.85041809972023e-16	3.581926006730433e-17	2.297139729235933e-16	9.567700597536497e-18	3.7092363819861547e-16	2.0545992012511928e-17
58057.675000004616	4.3850686752263915e-16	4.475307690660082e-17	5.339041342073531e-16	2.484278729916216e-17	4.852319941505735e-16	3.5072449487943735e-17	2.295031374073834e-16	9.485955888866103e-18	3.7090626015733996e-16	2.0178335179814942e-17
58057.72500000462	4.3948649456205604e-16	4.3731149605276036e-17	5.336343982884467e-16	2.431436761836478e-17	4.854207392096799e-16	3.4273435297772914e-17	2.2929248477179005e-16	9.39948523699291e-18	3.708894044032209e-16	1.9788066419273428e-17
58057.77500000462	4.4046284802711083e-16	4.263788366848049e-17	5.333650807367173e-16	2.3753874550422558e-17	4.856077531419342e-16	3.342253169680839e-17	2.2908195885936916e-16	9.308774234412565e-18	3.7087283417964223e-16	1.9375823545670993e-17
58057.825000004625	4.414352087599165e-16	4.1473594444466344e-17	5.33096034664043e-16	2.316192614056539e-17	4.857927438352589e-16	3.2520143466156514e-17	2.288715035049177e-16	9.21436448354428e-18	3.708563127091404e-16	1.8942366977806296e-17
58057.87500000463	4.4240285740988007e-16	4.023868443355141e-17	5.328271131650913e-16	2.2539274637094497e-17	4.859754190661311e-16	3.156678203366189e-17	2.286610625347623e-16	9.116858312129764e-18	3.708396031894866e-16	1.8488600909405972e-17
