MJD	nickel2_B	nickel2_B_err	nickel2_I	nickel2_I_err	nickel2_R	nickel2_R_err	nickel2_V	nickel2_V_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55800.05500000024	nan	nan	nan	nan	nan	nan	nan	nan	1.2732139414197711e-14	8.468882207403827e-16	3.561270119413881e-14	1.4509357114697219e-15	3.2543894927775996e-14	4.132589645077067e-15	-1.5900030651176803e-15	1.065756075353131e-15	7.18459740919864e-15	4.0910916269979974e-15	-7.581246175847755e-15	3.452278649095469e-15	3.392725597798081e-14	3.0646754144238515e-15
55800.10500000024	nan	nan	nan	nan	nan	nan	nan	nan	1.312955395976514e-14	9.49738383814948e-16	3.650032597649975e-14	1.4450716435671256e-15	3.289026578318914e-14	4.005045485153512e-15	-1.5364311238745106e-15	1.0368175159964747e-15	7.424062315362972e-15	4.129916868228372e-15	-7.36173857368801e-15	3.4016309857439576e-15	3.469137428000529e-14	3.1044969885414924e-15
55800.155000000246	nan	nan	nan	nan	nan	nan	nan	nan	1.3533696252960218e-14	1.0499180669338764e-15	3.7387337482023604e-14	1.4395204648031144e-15	3.3237773371990436e-14	3.878052549501514e-15	-1.4824906016385795e-15	1.0079978633168822e-15	7.6688841742862e-15	4.166155523428354e-15	-7.141200803374053e-15	3.351160806703907e-15	3.545850501905739e-14	3.1432647393284838e-15
55800.20500000025	nan	nan	nan	nan	nan	nan	nan	nan	1.394479455734995e-14	1.1471316862403592e-15	3.8273224346363514e-14	1.4347064418205496e-15	3.358642065567028e-14	3.751669195802945e-15	-1.4281796567253807e-15	9.793006113432393e-16	7.919172042318846e-15	4.199822698612062e-15	-6.919629331343452e-15	3.300872093075639e-15	3.6228680805830936e-14	3.181003682960276e-15
55800.25500000025	nan	nan	nan	nan	nan	nan	nan	nan	1.43630772431309e-14	1.2411064001094791e-15	3.915747516910259e-14	1.4310924065793484e-15	3.393621060269078e-14	3.62596145325289e-15	-1.3734964393334886e-15	9.507293478225113e-16	8.175035101444553e-15	4.230934084745596e-15	-6.697020613332647e-15	3.2507689204809507e-15	3.700193425968875e-14	3.2177397424227036e-15
55800.305000000255	nan	nan	nan	nan	nan	nan	nan	nan	1.4788772790643295e-14	1.331589676251956e-15	4.0039578500138015e-14	1.429177203991532e-15	3.428714618847658e-14	3.5010042835062456e-15	-1.3184390915121499e-15	9.222877594996688e-16	8.436582661777638e-15	4.2595059680822496e-15	-6.47337109434183e-15	3.2008554628280223e-15	3.7778298008722253e-14	3.253499737210675e-15
55800.35500000026	nan	nan	nan	nan	nan	nan	nan	nan	1.52221097938989e-14	1.4183474989452826e-15	4.091902282607755e-14	1.429490959224297e-15	3.463923039545695e-14	3.376883082092554e-15	-1.263005747126203e-15	8.939796379992928e-16	8.703924164060058e-15	4.285555241034469e-15	-6.248677208598541e-15	3.1511359962814108e-15	3.8557804689831005e-14	3.2883113743632707e-15
55800.40500000026	nan	nan	nan	nan	nan	nan	nan	nan	1.566331696405971e-14	1.5011629688697893e-15	4.1795296556587006e-14	1.4325878303315905e-15	3.499246621306519e-14	3.2536954704096157e-15	-1.2071945318240335e-15	8.65808886416307e-16	8.977169182165377e-15	4.309099413592321e-15	-6.022935379537546e-15	3.1016149034549424e-15	3.93404869489322e-14	3.3222032404847495e-15
55800.455000000264	nan	nan	nan	nan	nan	nan	nan	nan	1.611262313294913e-14	1.5798351653998968e-15	4.2667888010824104e-14	1.439036090673425e-15	3.534685663776404e-14	3.131553438833199e-15	-1.151003563002374e-15	8.377795267424349e-16	9.256427425596964e-15	4.330156625317638e-15	-5.796142019764853e-15	3.0522966778409636e-15	4.012637744092089e-14	3.3552047942763488e-15
55800.50500000027	nan	nan	nan	nan	nan	nan	nan	nan	1.6570257256568023e-14	1.6541781971108842e-15	4.3536285403781196e-14	1.4494056677874394e-15	3.57024046730564e-14	3.01058591352152e-15	-1.094430949773286e-15	8.098957082888295e-16	9.541808741998906e-15	4.348745657938093e-15	-5.568293531027311e-15	3.003185928491375e-15	4.091550882977248e-14	3.3873463593289756e-15
55800.55500000027	nan	nan	nan	nan	nan	nan	nan	nan	1.7036448418600947e-14	1.724020394862632e-15	4.439997683268799e-14	1.4642536329680409e-15	3.605911332950101e-14	2.890941832997453e-15	-1.037474792929083e-15	7.821617173001492e-16	9.83342311966369e-15	4.364885948560654e-15	-5.3393863041796344e-15	2.9542873849663908e-15	4.170791378872924e-14	3.418659116822118e-15
55800.60500000027	nan	nan	nan	nan	nan	nan	nan	nan	1.751142583393225e-14	1.7892036176718897e-15	4.525845026335828e-14	1.4841085350326037e-15	3.6416985624724293e-14	2.772793834866133e-15	-9.801331849094329e-16	7.545819880059899e-16	1.0131380690035304e-14	4.378597603543312e-15	-5.1094167191604145e-15	2.905605902571255e-15	4.2503625000277394e-14	3.4491750978328988e-15
