MJD	KeplerCam_B	KeplerCam_B_err	KeplerCam_V	KeplerCam_V_err	KeplerCam_i	KeplerCam_i_err	KeplerCam_r	KeplerCam_r_err	KeplerCam_u	KeplerCam_u_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55479.530000000195	6.815515716508168e-15	2.6753636433929647e-16	5.258871342899733e-15	2.028455920162639e-16	3.1025703196917492e-15	1.19005501122912e-16	5.057387555102397e-15	1.948601160692362e-16	1.2591597434261622e-14	5.194320432449153e-16	6.753357697667029e-15	2.864789038479145e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.922265907678884e-15	2.085719343656354e-16
55479.5800000002	6.838455371816055e-15	2.6679723060115705e-16	5.276011415950341e-15	2.0226488060309313e-16	3.1125775257216668e-15	1.186634182340675e-16	5.0741786145377064e-15	1.942928583455236e-16	1.2638156930390261e-14	5.184246048007965e-16	6.781463081045834e-15	2.8661646367137616e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.942822001884015e-15	2.086798573855152e-16
55479.6300000002	6.861414851471296e-15	2.6608105276251993e-16	5.293164434506751e-15	2.016992021351965e-16	3.122591961864044e-15	1.1832974005824775e-16	5.090980282294631e-15	1.9373967198722114e-16	1.2684741107902325e-14	5.174857509624699e-16	6.809576959303705e-15	2.86802283896917e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.963384043765218e-15	2.088229320875049e-16
55479.680000000204	6.884393807054154e-15	2.6538761467583013e-16	5.310330175009695e-15	2.0114845373203964e-16	3.132613503912617e-15	1.1800441472484646e-16	5.10779236958168e-15	1.9320046609330363e-16	1.2731348850121516e-14	5.166140336625232e-16	6.8376984255388994e-15	2.8703432255457726e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.983951370183466e-15	2.0899966147872382e-16
55479.73000000021	6.9073918915526e-15	2.647166854080249e-16	5.327508413487388e-15	2.0061252437215814e-16	3.1426420272305284e-15	1.1768738605466763e-16	5.124614687371694e-15	1.926751425592046e-16	1.2777979064772922e-14	5.158079399937381e-16	6.8658265728540384e-15	2.873105756118131e-16	nan	nan	nan	nan	nan	nan	nan	nan	5.0045233180016525e-15	2.0920857709566073e-16
55479.78000000021	6.930408757981112e-15	2.6406803148048433e-16	5.3446989259806926e-15	2.000913013804938e-16	3.1526774071870792e-15	1.1737859696123443e-16	5.141447046643543e-15	1.9216360169034176e-16	1.2824630659613591e-14	5.150659563013755e-16	6.8939604943524994e-15	2.87629079815508e-16	nan	nan	nan	nan	nan	nan	nan	nan	5.0250992240828605e-15	2.0944824106741886e-16
55479.83000000021	6.953444059380706e-15	2.634414170342345e-16	5.361901488542292e-15	1.99584670488532e-16	3.1627195191575367e-15	1.1707798947806472e-16	5.1582892583832964e-15	1.9166574224992687e-16	1.287130254243017e-14	5.143865700589102e-16	6.922099283134871e-15	2.879879152511319e-16	nan	nan	nan	nan	nan	nan	nan	nan	5.0456784252873346e-15	2.097172479709577e-16
55479.880000000216	6.976497448817353e-15	2.6283660399765254e-16	5.379115877237047e-15	1.990925158965164e-16	3.172768238523368e-15	1.1678550478744613e-16	5.175141133584041e-15	1.9118146151013713e-16	1.2917993621037447e-14	5.137682717022895e-16	6.950242032295686e-15	2.8838520762516566e-16	nan	nan	nan	nan	nan	nan	nan	nan	5.066260258470136e-15	2.1001422647932575e-16
55479.93000000022	6.999568579382614e-15	2.6225335225618997e-16	5.396341868141364e-15	1.9861472033681614e-16	3.1828234406715763e-15	1.1650108324951713e-16	5.192002483245164e-15	1.90710655302217e-16	1.2964702803275274e-14	5.132095564188629e-16	6.978387834919384e-15	2.8881913027619434e-16	nan	nan	nan	nan	nan	nan	nan	nan	5.086844060478429e-15	2.1033784080987133e-16
55479.98000000022	7.022657104192028e-15	2.616914198236426e-16	5.413579237342822e-15	1.9815116513877477e-16	3.192885000995162e-15	1.1622466443238886e-16	5.20887311837298e-15	1.9025321807037214e-16	1.3011428997006943e-14	5.127089258853669e-16	7.006535784077197e-15	2.8928790592111437e-16	nan	nan	nan	nan	nan	nan	nan	nan	5.107429168149214e-15	2.106867919756311e-16
