MJD	GMOS_r	GMOS_r_err	lascumbres_B	lascumbres_B_err	lascumbres_I	lascumbres_I_err	lascumbres_R	lascumbres_R_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56229.110000000175	nan	nan	8.409317821399714e-15	7.735685556657927e-16	1.0316333376346074e-15	2.3359127418388637e-17	1.8177894406210974e-15	5.684724983940273e-16	4.6107033193557136e-15	8.249293456956696e-16	5.256147585999046e-15	9.475439382049006e-16	1.3205522360665969e-15	2.3976400673873265e-16	2.785606662464685e-15	7.16412661114628e-16	5.3678589858063e-15	1.7597653303496342e-16	1.473790833641137e-15	1.1234216779450285e-16	nan	nan	3.175304332677569e-16	4.6560695832648685e-17	1.2665163559823757e-16	1.4397043106585946e-17	4.010695860557208e-15	1.507613602793162e-16
56229.16000000018	nan	nan	8.800835553789556e-15	7.390701047430723e-16	1.0717348507064195e-15	2.1085472151672236e-17	1.941075958955852e-15	5.424445505341406e-16	4.8360299054716085e-15	7.870075680989601e-16	5.557644639715225e-15	9.00809636114718e-16	1.3760986892602418e-15	2.2858893420634793e-16	2.9343113790286676e-15	6.817937439728544e-16	5.797278848948534e-15	1.6393405410637972e-16	1.6692189954454438e-15	8.550611678174494e-17	nan	nan	3.513904980291059e-16	3.494219295508016e-17	1.363247383922111e-16	1.2560179664731355e-17	4.219431255643776e-15	1.4450820607331888e-16
56229.21000000018	nan	nan	9.194224527025443e-15	7.054753553053704e-16	1.1120188569435958e-15	1.9967755729514842e-17	2.0653339708260976e-15	5.168354759316277e-16	5.062547864935363e-15	7.4954443711447e-16	5.860403335159735e-15	8.545689341506344e-16	1.4321146149473412e-15	2.1757242682101648e-16	3.0843527217814006e-15	6.482332637263592e-16	6.2282506075149304e-15	1.6514517075679725e-16	1.8662586168922197e-15	9.099153757024699e-17	nan	nan	3.856345938605322e-16	4.0691594475222255e-17	1.460856677360589e-16	1.306599303403748e-17	4.428971750150271e-15	1.4304218397644694e-16
56229.260000000184	nan	nan	9.589605071953308e-15	6.726549195971793e-16	1.1524950526711355e-15	2.0036835034971924e-17	2.190649888394224e-15	4.916269306095051e-16	5.29030729981263e-15	7.12538023486571e-16	6.164459830396579e-15	8.088079233895638e-16	1.488632121507323e-15	2.066940600660513e-16	3.235686265458906e-15	6.15593586674152e-16	6.6607592177610376e-15	1.7839495768276578e-16	2.0649600784505016e-15	1.2265190576235686e-16	nan	nan	4.202947669734148e-16	5.804070560839778e-17	1.559411695374993e-16	1.5531128968860824e-17	4.639320033320675e-15	1.4615180990692626e-16
56229.31000000019	nan	nan	9.98709753231421e-15	6.404822922001091e-16	1.193198740811669e-15	2.0990309869412717e-17	2.317110142651593e-15	4.668025685231712e-16	5.5193583227540334e-15	6.759892789687323e-16	6.469850293334807e-15	7.635139782346016e-16	1.5456833291946749e-15	1.9593362933021402e-16	3.388267253005365e-15	5.837329921232369e-16	7.094782028785053e-15	2.0034662643124714e-16	2.265395521860955e-15	1.643241662492224e-16	3.816241118343234e-17	6.4992759883225305e-18	4.554127567594911e-16	7.897567809429569e-17	1.659004199081686e-16	1.9061906208514366e-17	4.850478971907882e-15	1.5315126566559922e-16
56229.36000000019	nan	nan	1.0386822265583985e-14	6.088356946266138e-16	1.2341686930534367e-15	2.24492655943563e-17	2.4448011849596754e-15	4.4234870959175424e-16	5.74975105741963e-15	6.399027753925743e-16	6.7766109019896075e-15	7.186761880512995e-16	1.60330037090535e-15	1.8527134092461926e-16	3.5420509836249246e-15	5.525085341429087e-16	7.530296363819975e-15	2.276779525659547e-16	2.467637429093569e-15	2.087445134942465e-16	3.9373864888253526e-17	6.763132093467282e-18	4.910303540885674e-16	1.0070843806758007e-16	1.759726107847892e-16	2.3053043469703916e-17	5.062451440859608e-15	1.6317140625010824e-16
56229.41000000019	nan	nan	1.0788899643751654e-14	5.776000621510608e-16	1.2754436864209365e-15	2.40976404096486e-17	2.5738094885914683e-15	4.1825516730277605e-16	5.981535638877786e-15	6.042876524899164e-16	7.08477784477823e-15	6.742859158418511e-16	1.661515392942419e-15	1.7468802270233826e-16	3.696992810622344e-15	5.217778273449512e-16	7.967279555988778e-15	2.579850666552743e-16	2.6717583442836103e-15	2.533734836318611e-16	4.0597507859689236e-17	7.330623810228492e-18	5.271893823934017e-16	1.2234660866228966e-16	1.8616693887453595e-16	2.7202536443336723e-17	5.275240321313753e-15	1.753641075547341e-16
56229.460000000196	nan	nan	1.1193450054079883e-14	5.466692313103083e-16	1.3170625040687466e-15	2.571313642839749e-17	2.704221550274831e-15	3.9451629315944855e-16	6.214762214081817e-15	5.691588507980644e-16	7.394387320772432e-15	6.303375404353842e-16	1.7203605557821815e-15	1.641653625556623e-16	3.853048139242548e-15	4.914008632404792e-16	8.405708948171531e-15	2.897341650442021e-16	2.8778308761986042e-15	2.972113610978805e-16	4.1835785791603467e-17	8.108710313497862e-18	5.639317003984644e-16	1.4354593810691551e-16	1.964926060451729e-16	3.136349615605726e-17	5.4888485006323315e-15	1.8901379115773303e-16
56229.5100000002	nan	nan	1.1600593899902812e-14	5.159484329666185e-16	1.3590639360699493e-15	2.7150707662895996e-17	2.836123891734173e-15	3.711323200065712e-16	6.449480942240766e-15	5.345387383288922e-16	7.705475539987992e-15	5.868294696530288e-16	1.7798680348400145e-15	1.5368618868017963e-16	4.0101724245137814e-15	4.6124184078579415e-16	8.845561892815955e-15	3.21978203046566e-16	3.085927700698383e-15	3.398030802238589e-16	4.309114478515283e-17	9.017390057766233e-18	6.012992048500727e-16	1.6414986909309063e-16	2.0695881971523315e-16	3.5460273741040316e-17	5.703278872421745e-15	2.0356391546276056e-16
56229.5600000002	nan	nan	1.2010451601414909e-14	4.85357267204856e-16	1.4014867802096065e-15	2.831841833017121e-17	2.9696030612337917e-15	3.4811112250411524e-16	6.685741995287017e-15	5.004592866845758e-16	8.018078723640783e-15	5.437655630489649e-16	1.8400700212378205e-15	1.4323481482561984e-16	4.168321169090504e-15	4.3117101744590266e-16	9.286815751811877e-15	3.5412776400209545e-16	3.2961215632073346e-15	3.8091643579338945e-16	4.436603141809429e-17	9.998816515181465e-18	6.393338332491377e-16	1.8407812859331365e-16	2.1757479324444999e-16	3.945112892463081e-17	5.918534336540272e-15	2.1859940267553962e-16
