#wls	flux	flux_err
6531.6000	8.5622e-01	1.8235e-01
6540.8000	7.2742e-01	1.2646e-01
6550.0000	7.1545e-01	1.3068e-01
6559.2000	8.0579e-01	2.3367e-01
6568.4000	9.7432e-01	2.8092e-01
6577.6000	1.2069e+00	2.9855e-01
6586.8000	1.3895e+00	2.3403e-01
6596.0000	1.5556e+00	7.6986e-01
6605.2000	1.6877e+00	1.1779e+00
6614.4000	1.7794e+00	1.1421e+00
6623.6000	1.8102e+00	1.1093e+00
6632.8000	1.7719e+00	1.0717e+00
6642.0000	1.6620e+00	1.0105e+00
6651.2000	1.5025e+00	1.1761e-01
6660.4000	1.3023e+00	1.8543e-01
6669.6000	1.0920e+00	2.7857e-01
6678.8000	8.8090e-01	2.8833e-01
6688.0000	6.8907e-01	2.2468e-01
6697.2000	5.7248e-01	1.2160e-01
6706.4000	5.8848e-01	1.4071e-01
6715.6000	7.7926e-01	1.5290e-01
6724.8000	8.9626e-01	1.3764e-01
6734.0000	8.5760e-01	5.7231e-02
6743.2000	8.9332e-01	2.3853e-02
6752.4000	9.2461e-01	1.0511e-01
6761.6000	9.4467e-01	1.8100e-01
6770.8000	9.5781e-01	1.6569e-01
6780.0000	9.5585e-01	1.5048e-01
6789.2000	9.4282e-01	1.5794e-01
6798.4000	9.0745e-01	1.6321e-01
6807.6000	8.5751e-01	9.4301e-02
6816.8000	8.0279e-01	4.5528e-02
6826.0000	7.4638e-01	6.4805e-02
6835.2000	6.8642e-01	5.0004e-02
6844.4000	6.3925e-01	5.3647e-02
6853.6000	6.1344e-01	5.1197e-02
6862.8000	6.0303e-01	4.2880e-02
6872.0000	6.1169e-01	4.1382e-02
6881.2000	6.2640e-01	4.3374e-02
6890.4000	6.1808e-01	4.9658e-02
6899.6000	6.0331e-01	3.9836e-02
6908.8000	5.9843e-01	3.3882e-02
6918.0000	5.9542e-01	3.6033e-02
6927.2000	5.8233e-01	1.7077e-02
6936.4000	5.7270e-01	3.4034e-02
6945.6000	5.7313e-01	4.6698e-02
6954.8000	5.6970e-01	5.6559e-02
6964.0000	5.8335e-01	5.1996e-02
6973.2000	6.0775e-01	5.5119e-02
6982.4000	6.2784e-01	7.2415e-02
6991.6000	6.5764e-01	6.1279e-02
7000.8000	6.9291e-01	6.7572e-02
7010.0000	7.1522e-01	6.8411e-02
7019.2000	7.4258e-01	6.7814e-02
7028.4000	7.6787e-01	1.0151e-02
7037.6000	7.8519e-01	4.2666e-02
7046.8000	8.0601e-01	4.1575e-02
7056.0000	8.1790e-01	4.2563e-02
7065.2000	8.1172e-01	3.9743e-02
7074.4000	8.0936e-01	3.5487e-02
7083.6000	8.1036e-01	3.7752e-02
7092.8000	8.0481e-01	3.8177e-02
7102.0000	8.0922e-01	3.4642e-02
7111.2000	8.1741e-01	3.4599e-02
7120.4000	8.1486e-01	2.9151e-02
7129.6000	8.1523e-01	4.1240e-02
7138.8000	8.1383e-01	4.2391e-02
7148.0000	8.2318e-01	7.3779e-02
7157.2000	8.2355e-01	7.3926e-02
7166.4000	8.2517e-01	7.6079e-02
7175.6000	8.3530e-01	6.3460e-02
7184.8000	8.4185e-01	7.0366e-02
7194.0000	8.4540e-01	5.6009e-02
7203.2000	8.6675e-01	5.6407e-02
7212.4000	8.8084e-01	5.1127e-02
7221.6000	9.0346e-01	6.4653e-02
7230.8000	9.2739e-01	5.3739e-02
7240.0000	9.5967e-01	5.0240e-02
7249.2000	9.9940e-01	5.3032e-02
7258.4000	1.0402e+00	5.2514e-02
7267.6000	1.0855e+00	3.1996e-02
7276.8000	1.1508e+00	4.6368e-02
7286.0000	1.2084e+00	4.0977e-02
7295.2000	1.2748e+00	4.1890e-02
7304.4000	1.3398e+00	5.0378e-02
7313.6000	1.3903e+00	5.0525e-02
7322.8000	1.4420e+00	1.7010e-02
7332.0000	1.4747e+00	3.5539e-02
7341.2000	1.5039e+00	5.1172e-02
7350.4000	1.5241e+00	3.9546e-02
7359.6000	1.5326e+00	4.4545e-02
7368.8000	1.5171e+00	4.0264e-02
7378.0000	1.4928e+00	5.2693e-02
7387.2000	1.4665e+00	3.6245e-02
7396.4000	1.4216e+00	5.1886e-02
7405.6000	1.3788e+00	5.8053e-02
7414.8000	1.3296e+00	6.8323e-02
7424.0000	1.2717e+00	6.1770e-02
7433.2000	1.2005e+00	6.4548e-02
7442.4000	1.1367e+00	6.5744e-02
7451.6000	1.0681e+00	5.7764e-02
7460.8000	1.0058e+00	6.2812e-02
7470.0000	9.5277e-01	6.2438e-02
7479.2000	9.0564e-01	5.7839e-02
7488.4000	8.6349e-01	4.5072e-02
7497.6000	8.3364e-01	4.9673e-02
7506.8000	8.0385e-01	2.7688e-02
7516.0000	7.8275e-01	3.6853e-02
7525.2000	7.6162e-01	3.8983e-02
7534.4000	7.3131e-01	3.8832e-02
7543.6000	7.0593e-01	3.8566e-02
7552.8000	6.6613e-01	3.8584e-02
7562.0000	6.4480e-01	1.7892e-02
7571.2000	6.1492e-01	3.1941e-02
7580.4000	5.8284e-01	3.6597e-02
7589.6000	5.6463e-01	2.7745e-02
7598.8000	5.4111e-01	4.1852e-02
7608.0000	5.2512e-01	4.1915e-02
7617.2000	5.2188e-01	4.8943e-02
7626.4000	5.2122e-01	3.7825e-02
7635.6000	5.2581e-01	5.9580e-02
7644.8000	5.3715e-01	5.3453e-02
7654.0000	5.3579e-01	5.7104e-02
7663.2000	5.3159e-01	5.1194e-02
7672.4000	5.2719e-01	5.3338e-02
7681.6000	5.2308e-01	2.0979e-02
7690.8000	5.2562e-01	3.8570e-02
7700.0000	5.3134e-01	4.5343e-02
7709.2000	5.4514e-01	4.4035e-02
7718.4000	5.6205e-01	3.9181e-02
7727.6000	5.8117e-01	6.6233e-02
7736.8000	6.1595e-01	6.5548e-02
7746.0000	6.2774e-01	5.3526e-02
7755.2000	6.3913e-01	4.3908e-02
7764.4000	6.6503e-01	5.3816e-02
7773.6000	6.9298e-01	3.3410e-02
7782.8000	7.1136e-01	1.9113e-02
7792.0000	7.2357e-01	2.1519e-02
7801.2000	7.3064e-01	3.0686e-02
7810.4000	7.4337e-01	2.9347e-02
7819.6000	7.4942e-01	7.7768e-02
7828.8000	7.5596e-01	7.7927e-02
7838.0000	7.5938e-01	8.1381e-02
7847.2000	7.5971e-01	7.8151e-02
7856.4000	7.6549e-01	7.5484e-02
7865.6000	7.5636e-01	3.2747e-02
7874.8000	7.2998e-01	3.5409e-02
7884.0000	7.1233e-01	4.0072e-02
7893.2000	6.7953e-01	5.7161e-02
7902.4000	6.4248e-01	6.0745e-02
7911.6000	6.0602e-01	6.4432e-02
7920.8000	5.7007e-01	7.3601e-02
7930.0000	5.4688e-01	1.0219e-01
7939.2000	5.3427e-01	9.6151e-02
7948.4000	5.1031e-01	9.6477e-02
7957.6000	4.9774e-01	9.2125e-02
7966.8000	4.9355e-01	1.0957e-01
7976.0000	4.9636e-01	7.3306e-02
7985.2000	4.9724e-01	7.3306e-02
7994.4000	4.9799e-01	7.3306e-02
