#MJD,band,Flux,Flux_err,FilterSet,Instr
57953.38,atlas_o,1.0600169768887054e-16,9.763117157218192e-18,GeneralFilters,ATLAS
57955.37,atlas_o,1.0600169768887054e-16,1.9526234314436384e-17,GeneralFilters,ATLAS
57957.37,atlas_o,9.667469728237823e-17,1.7808137346569253e-17,GeneralFilters,ATLAS
57959.37,atlas_o,1.0600169768887054e-16,4.881558578609096e-18,GeneralFilters,ATLAS
57965.36,atlas_o,8.266331562436506e-17,6.8522154585884916e-18,GeneralFilters,ATLAS
57967.35,atlas_o,1.0600169768887054e-16,1.9526234314436384e-17,GeneralFilters,ATLAS
57969.34,atlas_o,8.041051078180004e-17,7.406081737848393e-18,GeneralFilters,ATLAS
57972.32,atlas_o,9.667469728237823e-17,2.6712206019853878e-17,GeneralFilters,ATLAS
57974.28,atlas_o,9.667469728237823e-17,8.904068673284626e-18,GeneralFilters,ATLAS
57976.32,atlas_o,9.491018519905451e-17,3.4966204418023525e-18,GeneralFilters,ATLAS
57978.32,atlas_o,8.041051078180004e-17,4.443649042709033e-18,GeneralFilters,ATLAS
57980.3,atlas_o,7.333525743114702e-17,3.377213411036799e-18,GeneralFilters,ATLAS
57982.3,atlas_o,6.688254968416211e-17,1.84803314261022e-17,GeneralFilters,ATLAS
57990.27,atlas_o,6.688254968416211e-17,6.1601104753674e-18,GeneralFilters,ATLAS
