MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	CSP_Y_new	CSP_Y_new_err	CSP_g_old	CSP_g_old_err	CSP_i_old	CSP_i_old_err	CSP_r_old	CSP_r_old_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56280.670000000144	6.860735274507805e-16	9.10874512423257e-17	1.9528792618058578e-16	4.039766005343026e-17	3.795021826747828e-16	6.534996871423548e-17	9.192021732163337e-16	2.0126870671146847e-16	nan	nan	9.249949023128526e-16	1.8779631433843789e-16	2.409953758778191e-16	5.679025153144365e-17	6.266470859731311e-16	4.813718000227584e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.72000000015	7.616850183802787e-16	1.070450845154679e-16	2.101148216596219e-16	4.343865077636496e-17	4.0747170318492166e-16	7.041776115282719e-17	9.509931301276134e-16	2.0346782700782877e-16	nan	nan	9.852925876509744e-16	1.9432992676316095e-16	2.5815458302506165e-16	5.932580518112654e-17	6.617504380989192e-16	4.709075440960743e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.77000000015	8.378483123433535e-16	1.2196586564868463e-16	2.2504536041824683e-16	4.62828237961276e-17	4.3560681114010776e-16	7.51540709828989e-17	9.830339892261444e-16	2.0526926353950804e-16	nan	nan	1.0460434364128697e-15	2.0088962116440932e-16	2.7547009597026687e-16	6.18235830842883e-17	6.970796796445186e-16	4.605548041183946e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.82000000015	9.145604770958022e-16	1.3569013033363276e-16	2.40078553733195e-16	4.89312384091685e-17	4.63906215593876e-16	7.955906111648904e-17	1.0153276618433083e-15	2.0668328027205973e-16	nan	nan	1.107258371798806e-15	2.0741343934192286e-16	2.929443819118476e-16	6.426722911982395e-17	7.326359411223211e-16	4.503183106299291e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.870000000155	9.918185970432427e-16	1.4814673784349146e-16	2.5521341643915754e-16	5.1385517588660306e-17	4.923686294102104e-16	8.363454152350745e-17	1.0478770649991379e-15	2.0772069159674598e-16	nan	nan	1.168948324880766e-15	2.1385124307668586e-16	3.1057991336800394e-16	6.664411564731651e-17	7.684203579053861e-16	4.402030365960131e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.92000000016	1.0696197731352307e-15	1.5930898067121532e-16	2.7044896688920514e-16	5.3647721547915414e-17	5.20992769230113e-16	8.738352770376745e-17	1.08068512146561e-15	2.083928697898347e-16	nan	nan	1.2311242347857144e-15	2.2016280494995102e-16	3.2837916825576777e-16	6.89445689020244e-17	8.044340702481585e-16	4.3021421065993187e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.97000000016	1.1479611227560246e-15	1.6917536721440986e-16	2.8578422691544446e-16	5.572026935894276e-17	5.497773554365646e-16	9.080997173715333e-17	1.113754759829422e-15	2.0871175195843062e-16	nan	nan	1.2937970488779723e-15	2.2631618011019193e-16	3.4634462997008756e-16	7.116127140461883e-17	8.406782233070054e-16	4.2035733056683593e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.020000000164	1.22683977961929e-15	1.7776052853843698e-16	3.0121822178959157e-16	5.760588826071151e-17	5.787211121209897e-16	9.391859255721888e-17	1.1470889145555815e-15	2.0868984566016618e-16	nan	nan	1.356977722942456e-15	2.3228634646152826e-16	3.644787874632695e-16	7.328880214746415e-17	8.771539671608443e-16	4.1063817658471456e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.07000000017	1.3062528936610419e-15	1.8509067798867662e-16	3.1674998018383055e-16	5.930757934338567e-17	6.078227670489343e-16	9.67147653206446e-17	1.1806905260496642e-15	2.0834023226139626e-16	nan	nan	1.4206772213676094e-15	2.380540838400091e-16	3.8278413532430715e-16	7.53232826199474e-17	9.138624568318762e-16	4.0106282469946627e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.12000000017	1.3861976309335194e-15	1.912013043192937e-16	3.3237853413157873e-16	6.082859299584427e-17	6.37081051626149e-16	9.92044468688726e-17	1.2145625407218475e-15	2.0767656695307224e-16	nan	nan	1.4849065173286453e-15	2.436050574642181e-16	4.012631738585379e-16	7.72621036467112e-17	9.508048523065014e-16	3.916376592981193e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
