MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
56717.810000002355	3.788901778609286e-15	1.2214985248502047e-15	3.873684251574163e-15	1.8686298827374164e-16	4.969095807788491e-15	3.5162080455440786e-16	1.878246653742519e-15	1.0272431512292937e-15	5.164231636497844e-15	7.520445766310778e-16
56717.86000000236	3.784917823946812e-15	1.214864580925707e-15	3.866861462876868e-15	1.8582979306964742e-16	4.959871270134478e-15	3.4980995958301795e-16	1.874946685840159e-15	1.021531950296493e-15	5.1540932339083375e-15	7.479618274770415e-16
56717.91000000236	3.780976739511274e-15	1.2076444878696133e-15	3.860043108265673e-15	1.847090478843295e-16	4.950722568942055e-15	3.4783814876261944e-16	1.8716326038443e-15	1.01532310116658e-15	5.1440227296394486e-15	7.4351479471135545e-16
56717.960000002364	3.777077463528959e-15	1.1998409547301303e-15	3.853229165768231e-15	1.8350119645987566e-16	4.941648590911679e-15	3.457063190080819e-16	1.868304689079668e-15	1.0086187679442202e-15	5.134020519571718e-15	7.387050989545527e-16
56718.01000000237	3.773218932883456e-15	1.1914568958156384e-15	3.846419613018425e-15	1.8220671752412056e-16	4.93264822367901e-15	3.434154849430486e-16	1.8649632195010463e-15	1.0014212784206279e-15	5.124086999993264e-15	7.335344862042484e-16
56718.06000000237	3.769400083050147e-15	1.1824954341242873e-15	3.8396144272572175e-15	1.80826125367028e-16	4.923720355795991e-15	3.4096673052472966e-16	1.8616084697173545e-15	9.937331262350013e-16	5.1142225676230974e-15	7.280048295771919e-16
56718.11000000237	3.7656198480303e-15	1.1729599051064911e-15	3.83281358533272e-15	1.7935997048360233e-16	4.914863876712207e-15	3.383612108388027e-16	1.8582407110154978e-15	9.85556973232203e-16	5.10442761963522e-15	7.221181312179663e-16
56718.160000002375	3.761877160284997e-15	1.1628538607892962e-15	3.826017063700734e-15	1.7780884028902886e-16	4.9060776767555846e-15	3.3560015407954595e-16	1.8548602113839502e-15	9.768956520308938e-16	5.09470255368203e-15	7.158765243872756e-16
56718.21000000238	3.758170950669081e-15	1.1521810742948226e-15	3.819224838424933e-15	1.7617335991315837e-16	4.897360647113146e-15	3.326848637361102e-16	1.8514672355362797e-15	9.677521688159147e-16	5.085047767917897e-15	7.092822757454891e-16
56718.26000000238	3.754500148364727e-15	1.1409455447907418e-15	3.812436885177184e-15	1.74454193081894e-16	4.8887116798127025e-15	3.296167210075398e-16	1.8480620449341987e-15	9.581297063720998e-16	5.0754636610229735e-15	7.023377878491525e-16
56718.310000002384	3.750863680815004e-15	1.1291515029162534e-15	3.805653179238032e-15	1.726520430950321e-16	4.880129667703612e-15	3.2639718747294045e-16	1.8446448978106702e-15	9.48031627379203e-16	5.0659506322266326e-15	6.950456018809399e-16
56718.36000000239	3.747260473657303e-15	1.1168034167334375e-15	3.798873695496794e-15	1.7076765391128275e-16	4.87161350443759e-15	3.2302780804604774e-16	1.8412160491925826e-15	9.374614779898682e-16	5.0565090813311704e-15	6.874084006368587e-16
56718.41000000239	3.743689450656621e-15	1.1039059982628182e-15	3.792098408452133e-15	1.6880181135228516e-16	4.8631620844502976e-15	3.195102142504264e-16	1.837775750923332e-15	9.264229917170451e-16	5.0471394087353025e-15	6.79429011798017e-16
56718.46000000239	3.740149533638374e-15	1.090464210670455e-15	3.785327292212039e-15	1.6675534444108416e-16	4.8547743029419745e-15	3.1584612785394143e-16	1.8343242516852055e-15	9.14920093660434e-16	5.03784201545783e-15	6.711104115191552e-16
