MJD	lascumbres_B	lascumbres_B_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err	lascumbres_u'	lascumbres_u'_err
57274.600000000195	1.3092091238340113e-15	1.3121623612736472e-16	8.343483215337851e-16	5.58882503705707e-17	9.831616588952142e-16	5.637834568487465e-17	3.755434473583386e-16	3.825095722951325e-17	6.562554905728518e-16	6.248464192988873e-17	nan	nan
57274.6500000002	1.3305921188078109e-15	1.301479972698663e-16	8.516152268491598e-16	5.616025353454466e-17	1.0028162394252266e-15	5.792616514887477e-17	3.8244920757611076e-16	3.7958696146430235e-17	6.669193233814084e-16	6.2125443929123e-17	nan	nan
57274.7000000002	1.3521036004053905e-15	1.2909449299237231e-16	8.689445098785726e-16	5.64197250809175e-17	1.0225706735232552e-15	5.945939800227122e-17	3.8938026174763977e-16	3.767719692236023e-17	6.77617758175101e-16	6.1780815997959e-17	nan	nan
57274.750000000204	1.3737410359366906e-15	1.280515007081643e-16	8.8633618290125895e-16	5.666475132028613e-17	1.042422267761789e-15	6.097173471597648e-17	3.9633624459597595e-16	3.7405920933584546e-17	6.883500068246164e-16	6.144998061169345e-17	nan	nan
57274.80000000021	1.395501899114218e-15	1.2701500178626839e-16	9.037902596455478e-16	5.689359060411151e-17	1.06236833229562e-15	6.245777986767037e-17	4.0331679116058557e-16	3.7144337055078486e-17	6.991152816473353e-16	6.113217063870296e-17	nan	nan
57274.85000000021	1.41738366987967e-15	1.2598119160353564e-16	9.213067552862135e-16	5.71046674564958e-17	1.0824061807420407e-15	6.391292524094527e-17	4.1032153679219623e-16	3.6891923222055054e-17	7.099127953956585e-16	6.0826631213957e-17	nan	nan
57274.90000000021	1.4393838342308125e-15	1.2494648817211894e-16	9.388856864420953e-16	5.72965666737249e-17	1.1025331300611651e-15	6.533324083452084e-17	4.1735011714758127e-16	3.6648167915941665e-17	7.207417612452707e-16	6.053262150656115e-17	nan	nan
57274.950000000215	1.4614998840486395e-15	1.239075394853611e-16	9.565270711737506e-16	5.746802751323487e-17	1.1227465004363645e-15	6.671538183077939e-17	4.2440216818433413e-16	3.641257156758477e-17	7.31601392783325e-16	6.024941637553534e-17	nan	nan
57275.00000000022	1.4837293169247603e-15	1.2286122973508336e-16	9.742309289809082e-16	5.761793806657347e-17	1.143043615154742e-15	6.805650950536596e-17	4.31477326155712e-16	3.618464787216406e-17	7.424909039968038e-16	5.997630790927773e-17	nan	nan
57275.05000000022	1.5060696359890459e-15	1.2180468455851545e-16	9.919972808002233e-16	5.774532988815533e-17	1.1634218004877779e-15	6.935422415351017e-17	4.3857522760546754e-16	3.596392501100123e-17	7.534095092607371e-16	5.971260684558218e-17	nan	nan
57275.100000000224	1.5285183497374787e-15	1.2073527547600802e-16	1.0098261490028723e-15	5.784937293240684e-17	1.1838783855719927e-15	7.060650828067363e-17	4.456955093625676e-16	3.574994677698224e-17	7.643564233264366e-16	5.945764387040159e-17	nan	nan
57275.15000000023	1.5510729718602457e-15	1.1965062367975284e-16	1.0277175573923196e-15	5.79293708362087e-17	1.2044107022897215e-15	7.18116785086671e-17	4.528378085361397e-16	3.5542273601230575e-17	7.753308613098487e-16	5.921077079483816e-17	nan	nan
57275.20000000023	1.573731021070055e-15	1.1854860333122212e-16	1.0456715312018874e-15	5.798475657075903e-17	1.225016085149987e-15	7.296834485374926e-17	4.600017625102281e-16	3.5340483479715267e-17	7.863320386798299e-16	5.897136161079808e-17	nan	nan
57275.25000000023	1.596490020930657e-15	1.174273445204561e-16	1.0636880970926445e-15	5.801508847645606e-17	1.2456918711694165e-15	7.407537622662204e-17	4.671870089385546e-16	3.514417279925058e-17	7.973591712463559e-16	5.87388134267068e-17	nan	nan
57275.300000000236	1.6193474996855222e-15	1.162852360343806e-16	1.0817672831510841e-15	5.802004668589691e-17	1.2664353997532526e-15	7.513187117838673e-17	4.743931857394596e-16	3.495295706332167e-17	8.084114751488821e-16	5.851254728569454e-17	nan	nan
57275.35000000024	1.6423009900867638e-15	1.1512092807450895e-16	1.0999091188868846e-15	5.7999429933431e-17	1.2872440125764127e-15	7.613713306898024e-17	4.816199310906742e-16	3.4766471518710556e-17	8.194881668445922e-16	5.82920088690752e-17	nan	nan
57275.40000000024	1.6653480292242418e-15	1.139333350568006e-16	1.1181136352308245e-15	5.7953152743569e-17	1.3081150534646518e-15	7.709064896589648e-17	4.888668834241306e-16	3.4584371684377526e-17	8.305884630967329e-16	5.807666908874079e-17	nan	nan
57275.450000000244	1.6884861583547938e-15	1.1272163861785252e-16	1.1363808645326074e-15	5.788124298680164e-17	1.3290458682757342e-15	7.799207169255935e-17	4.961336814208371e-16	3.4406333784731754e-17	8.417115809628412e-16	5.786602457240562e-17	nan	nan
57275.50000000025	1.7117129227316899e-15	1.1148529094311849e-16	1.1547108405586163e-15	5.778383978601287e-17	1.3500338047806956e-15	7.884120453958525e-17	5.034199640056736e-16	3.4232055089430884e-17	8.528567377831517e-16	5.765959804601909e-17	nan	nan
57275.55000000025	1.7350258714341886e-15	1.1022401852268576e-16	1.1731035984898988e-15	5.766119175446998e-17	1.3710762125451728e-15	7.963798823091223e-17	5.107253703422951e-16	3.4061254162291886e-17	8.640231511687932e-16	5.74569386177702e-17	nan	nan
57275.60000000025	1.758422557197301e-15	1.089378264301173e-16	1.191559174920152e-15	5.751365554149966e-17	1.392170442810736e-15	8.038248980259628e-17	5.180495398278669e-16	3.389367102193771e-17	8.752100389901539e-16	5.725762196838605e-17	nan	nan
57275.650000000256	1.7819005362416662e-15	1.0762700320744768e-16	1.2100776078535156e-15	5.734169465945006e-17	1.4133138483763041e-15	8.107489310623063e-17	5.253921120879876e-16	3.3729067216711054e-17	8.864166193651896e-16	5.70612504522572e-17	nan	nan
57275.70000000026	1.805457368103553e-15	1.062921264260808e-16	1.2286589367026523e-15	5.714587856129639e-17	1.4345037834795908e-15	8.171549069467293e-17	5.3275272697155e-16	3.356722581650527e-17	8.976421106477052e-16	5.686745311394097e-17	nan	nan
57275.75000000026	1.829090615465014e-15	1.049340689767602e-16	1.2473032022867017e-15	5.69268819339792e-17	1.4557376036786023e-15	8.230467688496364e-17	5.401310245454745e-16	3.340795132388518e-17	9.088857314156746e-16	5.667588562445157e-17	nan	nan
57275.800000000265	1.8527978439841377e-15	1.0355400612209931e-16	1.2660104468293343e-15	5.668548416809168e-17	1.4770126657331439e-15	8.284294182449224e-17	5.47526645089734e-16	3.325106950666814e-17	9.201467004595937e-16	5.64862301414861e-17	nan	nan
57275.85000000027	1.876576622125406e-15	1.0215342332075823e-16	1.2847807139567506e-15	5.642256895883048e-17	1.4983263274863662e-15	8.333086641193223e-17	5.549392290920026e-16	3.309642715397337e-17	9.314242367707396e-16	5.629819509757013e-17	nan	nan
57275.90000000027	1.9004245209902202e-15	1.0073412480176387e-16	1.3036140486957991e-15	5.613912398671314e-17	1.5196759477463668e-15	8.376911794575943e-17	5.623684172426625e-16	3.2943891757293067e-17	9.42717559529536e-16	5.611151491954955e-17	nan	nan
57275.95000000027	1.924339114147376e-15	9.929824282942067e-17	1.3225104974720775e-15	5.583624061944353e-17	1.5410588861677725e-15	8.41584463901387e-17	5.698138504296198e-16	3.2793351117987356e-17	9.540258880938722e-16	5.592594968299545e-17	nan	nan
57276.00000000028	1.9483179774637953e-15	9.784824755133507e-17	1.3414701081080318e-15	5.551511356754768e-17	1.5624725031333733e-15	8.44996811624896e-17	5.772751697331232e-16	3.2644712882110763e-17	9.65348441987396e-16	5.5741284704058e-17	nan	nan
57276.05000000028	1.9723586889352123e-15	9.63869572622972e-17	1.3604929298211079e-15	5.517704041693175e-17	1.5839141596357371e-15	8.479372835814566e-17	5.847520164206529e-16	3.2497904003071625e-17	9.7668444088785e-16	5.555733007156534e-17	nan	nan
57276.10000000028	1.9964588285170132e-15	9.491754884264668e-17	1.3795790132219612e-15	5.482342095041695e-17	1.6053812171588995e-15	8.504156833703988e-17	5.922440319417735e-16	3.2352870132563477e-17	9.880331046154195e-16	5.53739201213037e-17	nan	nan
57276.150000000285	2.0206159779550402e-15	9.344356803869562e-17	1.3987284103125743e-15	5.4455756158758845e-17	1.62687103755998e-15	8.524425360439059e-17	5.997508579229853e-16	3.220957493930039e-17	9.993936531210333e-16	5.519091285415359e-17	nan	nan
57276.20000000029	2.0448277206165573e-15	9.196893914197899e-17	1.4179411744846018e-15	5.407564682757755e-17	1.6483809829508782e-15	8.540290692312612e-17	6.072721361626396e-16	3.206799935538815e-17	1.0107653064747192e-15	5.5008189299516555e-17	nan	nan
57276.25000000029	2.0690916413212008e-15	9.049797349249346e-17	1.4372173605175393e-15	5.368479157377113e-17	1.6699084155799051e-15	8.551871960006224e-17	6.148075086257483e-16	3.192814074927357e-17	1.022147284853896e-15	5.482565282469945e-17	nan	nan
57276.300000000294	2.093405326171954e-15	8.903537607538864e-17	1.4565570245770101e-15	5.3284984188804935e-17	1.6914506977134746e-15	8.559294989073114e-17	6.223566174388173e-16	3.179001202435399e-17	1.033538808531745e-15	5.464322839086216e-17	nan	nan
57276.3500000003	2.1177663623862064e-15	8.758624930354516e-17	1.4759602242131018e-15	5.287811013326735e-17	1.713005191517745e-15	8.562692146966876e-17	6.299191048848526e-16	3.1653640641743805e-17	1.044939097865514e-15	5.446086175559852e-17	nan	nan
57276.4000000003	2.142172338126799e-15	8.615609288056286e-17	1.4954270183586379e-15	5.246614201094994e-17	1.734569258940253e-15	8.562202191405704e-17	6.37494613398103e-16	3.1519067565832544e-17	1.0563473732848633e-15	5.427851862184928e-17	2.188018640446197e-15	3.5153943734763624e-16
57276.4500000003	2.166620842333075e-15	8.475079842726532e-17	1.514957467327561e-15	5.2051133839429933e-17	1.7561402615915473e-15	8.557970114859477e-17	6.4508278555893e-16	3.138634613080751e-17	1.0677628552802021e-15	5.409618373256571e-17	2.2001116644142426e-15	3.4845444254671936e-16
57276.500000000306	2.1911094645519727e-15	8.337663734121936e-17	1.5345516328133328e-15	5.1635213922878773e-17	1.777715560626811e-15	8.550146979898623e-17	6.526832640888211e-16	3.125554082655211e-17	1.0791847643909884e-15	5.391385991018478e-17	2.2122715256355285e-15	3.4546172482735767e-16
57276.55000000031	2.215635794769069e-15	8.204024015919848e-17	1.5542095778872833e-15	5.1220576126568806e-17	1.79929251662744e-15	8.538889740008606e-17	6.602956918450675e-16	3.11267260020236e-17	1.0906123211941204e-15	5.373156703967027e-17	2.2244985935144672e-15	3.425636771829937e-16
57276.60000000031	2.240197423239659e-15	8.074856553434539e-17	1.5739313669970953e-15	5.0809469351604885e-17	1.820868489482608e-15	8.524361040306425e-17	6.679197118157809e-16	3.0999984484551414e-17	1.1020447462922149e-15	5.3549340993779504e-17	2.236793239497115e-15	3.3976264642150407e-16
57276.650000000314	2.264791940319777e-15	7.950885685504174e-17	1.593717065965173e-15	5.0404185014505656e-17	1.842440838270796e-15	8.506728992352439e-17	6.75554967114753e-16	3.087540611343276e-17	1.113481260302003e-15	5.336723249862658e-17	2.249155837082484e-15	3.370609230093371e-16
57276.70000000032	2.2894169362972374e-15	7.832858456398914e-17	1.6135667419871957e-15	5.0007042350969076e-17	1.8640069273881137e-15	8.486159549039381e-17	6.832010844186674e-16	3.0753054731553665e-17	1.1249210848301953e-15	5.318527743024669e-17	2.261586356904963e-15	3.3446051604400043e-16
57276.75000000032	2.3140700012225862e-15	7.721537243281841e-17	1.6334804636305836e-15	4.962037138991195e-17	1.8855641846730075e-15	8.462747607714533e-17	6.908575195851567e-16	3.0632673596196156e-17	1.1363634516701877e-15	5.300322999264051e-17	2.274080591302104e-15	3.3196114472843263e-16
57276.80000000032	2.338748724740039e-15	7.617690645724398e-17	1.6534583008330318e-15	4.92464934818133e-17	1.9071100748463144e-15	8.436548468752528e-17	6.985236277373117e-16	3.051381888221688e-17	1.1478075986096441e-15	5.282068354591834e-17	2.2866318682176566e-15	3.2956114454936983e-16
