MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err
53538.62500000032	6.851663412763633e-16	2.33788371337759e-17	1.585246971731646e-16	7.550146549376458e-18	nan	nan	nan	nan
53538.67500000032	6.875255012452479e-16	2.3428393693864725e-17	1.588742816690329e-16	7.53138229114265e-18	nan	nan	nan	nan
53538.725000000326	6.898836515494449e-16	2.3478298638470435e-17	1.5922405562797742e-16	7.5131555032725e-18	nan	nan	nan	nan
53538.77500000033	6.922407566059577e-16	2.3528518016480842e-17	1.595740149787769e-16	7.495461747575108e-18	nan	nan	nan	nan
53538.82500000033	6.945967808287496e-16	2.357901933468101e-17	1.5992415565034715e-16	7.478296538374628e-18	nan	nan	nan	nan
53538.875000000335	6.96951688628745e-16	2.3629771540825744e-17	1.6027447357173777e-16	7.461655344958361e-18	nan	nan	nan	nan
53538.92500000034	6.993054444136865e-16	2.368074500603034e-17	1.6062496467213036e-16	7.445533594044866e-18	nan	nan	nan	nan
53538.97500000034	7.016580125880602e-16	2.3731911505940864e-17	1.6097562488083137e-16	7.429926672299358e-18	nan	nan	nan	nan
53539.02500000034	7.040093575530639e-16	2.3783244201385005e-17	1.613264501272715e-16	7.414829928875271e-18	nan	nan	nan	nan
53539.075000000346	7.063594437064753e-16	2.383471761821889e-17	1.6167743634099275e-16	7.40023867797927e-18	nan	nan	nan	nan
53539.12500000035	7.087082354425998e-16	2.3886307626545943e-17	1.6202857945166348e-16	7.386148201433906e-18	nan	nan	nan	nan
53539.17500000035	7.110556971521904e-16	2.3937991419318293e-17	1.6237987538905728e-16	7.372553751302705e-18	nan	nan	nan	nan
53539.225000000355	7.134017932223695e-16	2.398974749046186e-17	1.6273132008305053e-16	7.359450552471422e-18	nan	nan	nan	nan
53539.27500000036	7.157464880365444e-16	2.404155561251507e-17	1.630829094636293e-16	7.346833805274726e-18	nan	nan	nan	nan
53539.32500000036	7.180897459743363e-16	2.4093396813839105e-17	1.6343463946087612e-16	7.334698688122496e-18	nan	nan	nan	nan
53539.375000000364	7.20431531411486e-16	2.414525335547686e-17	1.6378650600496857e-16	7.32304036008665e-18	nan	nan	nan	nan
53539.42500000037	7.227718087198084e-16	2.4197108707634152e-17	1.6413850502617945e-16	7.311853963544389e-18	nan	nan	nan	nan
53539.47500000037	7.25110542267074e-16	2.424894752590233e-17	1.644906324548628e-16	7.301134626754911e-18	nan	nan	nan	nan
53539.52500000037	7.274476964169539e-16	2.4300755627213973e-17	1.6484288422146403e-16	7.290877466442348e-18	nan	nan	nan	nan
53539.575000000375	7.297832355784234e-16	2.4352519915781327e-17	1.6519525625650048e-16	7.28107759039433e-18	nan	nan	nan	nan
53539.62500000038	7.321171279843381e-16	2.4404224559543652e-17	1.6554774449057235e-16	7.271730099960692e-18	nan	nan	nan	nan
53539.67500000038	7.344493483521981e-16	2.445584829589566e-17	1.6590034485435116e-16	7.262830092623604e-18	nan	nan	nan	nan
53539.725000000384	7.367798720236727e-16	2.4507370312989786e-17	1.662530532785742e-16	7.254372664444928e-18	nan	nan	nan	nan
53539.77500000039	7.391086743359964e-16	2.455877087164952e-17	1.6660586569404341e-16	7.246352912559667e-18	nan	nan	nan	nan
53539.82500000039	7.414357306218847e-16	2.4610031294959717e-17	1.6695877803162347e-16	7.238765937575261e-18	nan	nan	nan	nan
53539.87500000039	7.437610162095334e-16	2.4661133957453333e-17	1.6731178622223648e-16	7.231606845964917e-18	nan	nan	nan	nan
53539.925000000396	7.460845064224987e-16	2.471206227399038e-17	1.6766488619685484e-16	7.224870752409262e-18	nan	nan	nan	nan
53539.9750000004	7.484061765796867e-16	2.4762800688276406e-17	1.680180738865027e-16	7.218552782078814e-18	nan	nan	nan	nan
53540.0250000004	7.507260019952975e-16	2.481333466127886e-17	1.6837134522224656e-16	7.212648072896956e-18	nan	nan	nan	nan
53540.075000000405	7.530439579787312e-16	2.4863650659249574e-17	1.687246961351987e-16	7.207151777715172e-18	nan	nan	nan	nan
53540.12500000041	7.55360019834586e-16	2.4913736141611516e-17	1.690781225565037e-16	7.202059066467799e-18	nan	nan	nan	nan
53540.17500000041	7.576741628625595e-16	2.4963579548607746e-17	1.694316204173439e-16	7.197365128249328e-18	nan	nan	nan	nan
53540.22500000041	7.599863623574012e-16	2.5013170288793242e-17	1.6978518564893214e-16	7.193065173331001e-18	nan	nan	nan	nan
53540.275000000416	7.62296593608901e-16	2.506249872636439e-17	1.7013881418250416e-16	7.189154435132268e-18	nan	nan	nan	nan
53540.32500000042	7.646048319017622e-16	2.5111556168354452e-17	1.7049250194931699e-16	7.185628172125927e-18	nan	nan	nan	nan
53540.37500000042	7.669110525156092e-16	2.516033485161375e-17	1.7084624488065088e-16	7.18248166965275e-18	nan	nan	nan	nan
53540.425000000425	7.69215230724891e-16	2.520882792976555e-17	1.7120003890779685e-16	7.179710241696477e-18	nan	nan	nan	nan
53540.47500000043	7.715173417988497e-16	2.5257029459973978e-17	1.715538800782457e-16	7.177309018361013e-18	nan	nan	nan	nan
53540.52500000043	7.738173610014473e-16	2.5304934389628604e-17	1.719077650679325e-16	7.17527200323878e-18	nan	nan	nan	nan
53540.575000000434	7.76115263591342e-16	2.5352538542930555e-17	1.722616907642855e-16	7.173592845073894e-18	nan	nan	nan	nan
53540.62500000044	7.784110248217849e-16	2.5399838607322804e-17	1.7261565405490164e-16	7.172265230633134e-18	nan	nan	nan	nan
53540.67500000044	7.80704619940601e-16	2.5446832119885037e-17	1.7296965182737325e-16	7.171282888149218e-18	nan	nan	nan	nan
53540.72500000044	7.829960241901349e-16	2.5493517453614412e-17	1.7332368096928624e-16	7.170639590345869e-18	nan	nan	nan	nan
53540.775000000445	7.852852128071679e-16	2.5539893803601218e-17	1.7367773836821714e-16	7.170329157346553e-18	nan	nan	nan	nan
53540.82500000045	7.875721610228901e-16	2.5585961173078848e-17	1.7403182091173416e-16	7.170345459532817e-18	nan	nan	nan	nan
53540.87500000045	7.898568440628228e-16	2.5631720359422246e-17	1.7438592548738918e-16	7.170682420235815e-18	nan	nan	nan	nan
53540.925000000454	7.921392371467909e-16	2.5677172940063482e-17	1.747400489827189e-16	7.171334018383088e-18	nan	nan	nan	nan
53540.97500000046	7.944193154888475e-16	2.5722321258209863e-17	1.75094188285239e-16	7.17229429100549e-18	nan	nan	nan	nan
53541.02500000046	7.966970542971982e-16	2.576716840854969e-17	1.7544834028244346e-16	7.17355733564368e-18	nan	nan	nan	nan
53541.07500000046	7.989724287742081e-16	2.58117182227805e-17	1.7580250186179505e-16	7.175117312649339e-18	nan	nan	nan	nan
53541.125000000466	8.01245414117608e-16	2.5855975253428968e-17	1.761566699107348e-16	7.176968447395732e-18	nan	nan	nan	nan
53541.17500000047	8.035159872704902e-16	2.5899942578443238e-17	1.7651084131666708e-16	7.179105032361325e-18	nan	nan	nan	nan
53541.22500000047	8.057841303738955e-16	2.5943617487112433e-17	1.7686501296696307e-16	7.181521429108147e-18	nan	nan	nan	nan
53541.275000000474	8.080498265248806e-16	2.5986996760839448e-17	1.772191817489563e-16	7.184212070187965e-18	nan	nan	nan	nan
53541.32500000048	8.103130588143913e-16	2.603007786872024e-17	1.775733445499408e-16	7.187171460885651e-18	nan	nan	nan	nan
53541.37500000048	8.125738103272137e-16	2.607285896399528e-17	1.7792749825715956e-16	7.190394180913175e-18	nan	nan	nan	nan
53541.42500000048	8.148320641419444e-16	2.6115338880274706e-17	1.782816397578148e-16	7.19387488596694e-18	nan	nan	nan	nan
