MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	LT_IOO_u	LT_IOO_u_err	LT_IOO_z	LT_IOO_z_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err
57233.96375000022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.199502763243596e-16	1.9291813008652198e-17	nan	nan	nan	nan	nan	nan
57234.013750000224	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.2414072896949083e-16	1.9341001586779227e-17	nan	nan	nan	nan	nan	nan
57234.06375000023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.2833842217749765e-16	1.9394991300949152e-17	nan	nan	nan	nan	nan	nan
57234.11375000023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.325431200717651e-16	1.9453363253953994e-17	nan	nan	nan	nan	nan	nan
57234.16375000023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.3675458686398746e-16	1.9515716943553688e-17	nan	nan	nan	nan	nan	nan
57234.213750000235	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.4097258684982387e-16	1.9581671949483954e-17	nan	nan	nan	nan	nan	nan
57234.26375000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.451968844045971e-16	1.9650869354084413e-17	nan	nan	nan	nan	nan	nan
57234.31375000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.494272439789483e-16	1.9722972910703144e-17	nan	nan	nan	nan	nan	nan
57234.363750000244	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.536634300945235e-16	1.9797669975547228e-17	nan	nan	nan	nan	nan	nan
57234.41375000025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.579052073396559e-16	1.9874672219454426e-17	nan	nan	nan	nan	nan	nan
57234.46375000025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.621523403650303e-16	1.9953716136142725e-17	nan	nan	nan	nan	nan	nan
57234.51375000025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.664045938793767e-16	2.0034563363400496e-17	nan	nan	nan	nan	nan	nan
57234.563750000256	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.706617326451375e-16	2.0117000832858265e-17	nan	nan	nan	nan	nan	nan
57234.61375000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.74923521474157e-16	2.0200840763304376e-17	nan	nan	nan	nan	nan	nan
57234.66375000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.791897252233577e-16	2.0285920511063753e-17	nan	nan	nan	nan	nan	nan
57234.713750000265	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.834601087904155e-16	2.0372102290018914e-17	nan	nan	nan	nan	nan	nan
57234.76375000027	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.877344371094579e-16	2.0459272772175432e-17	nan	nan	nan	nan	nan	nan
57234.81375000027	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.920124751467199e-16	2.0547342578756157e-17	nan	nan	nan	nan	nan	nan
57234.86375000027	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.962939878962522e-16	2.0636245669898378e-17	nan	nan	nan	nan	nan	nan
57234.913750000276	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.005787403755911e-16	2.0725938640425924e-17	nan	nan	nan	nan	nan	nan
57234.96375000028	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.048664976214334e-16	2.0816399927381785e-17	nan	nan	nan	nan	nan	nan
57235.01375000028	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.091570246853301e-16	2.090762893433993e-17	nan	nan	nan	nan	nan	nan
57235.063750000285	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.134500866293725e-16	2.099964507636378e-17	nan	nan	nan	nan	nan	nan
57235.11375000029	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.177454485218598e-16	2.1092486748753067e-17	nan	nan	nan	nan	nan	nan
57235.16375000029	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.220428754329817e-16	2.118621022199943e-17	nan	nan	nan	nan	nan	nan
57235.213750000294	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.263421324305248e-16	2.1280888464861454e-17	nan	nan	nan	nan	nan	nan
57235.2637500003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.306429845755271e-16	2.137660989709934e-17	nan	nan	nan	nan	nan	nan
57235.3137500003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.349451969179683e-16	2.1473477073178006e-17	nan	nan	1.1203320478156958e-16	3.3440973306444077e-17	nan	nan
57235.3637500003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.392485344924519e-16	2.1571605298163753e-17	nan	nan	1.136485263024331e-16	3.304437764296137e-17	nan	nan
57235.413750000305	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.435527623138985e-16	2.1671121177060914e-17	nan	nan	1.152711061616728e-16	3.264970143571792e-17	nan	nan
57235.46375000031	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.478576488731104e-16	2.1772149150994304e-17	nan	nan	1.1690097026790028e-16	3.2256995136278826e-17	nan	nan
57235.51375000031	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.521630205605665e-16	2.187462430592828e-17	nan	nan	1.1853814461319062e-16	3.18663104752582e-17	nan	nan
57235.563750000314	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.564687513541009e-16	2.197832744154829e-17	nan	nan	1.2018265527335e-16	3.147770049894101e-17	nan	nan
57235.61375000032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.607747166107895e-16	2.2083043730451287e-17	nan	nan	1.2183452840817377e-16	3.109121960640194e-17	nan	nan
57235.66375000032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.650807916512649e-16	2.2188568457683572e-17	nan	nan	1.23493790261707e-16	3.0706923587057264e-17	nan	nan
57235.71375000032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.693868517572744e-16	2.229470781774496e-17	nan	nan	1.251604671624886e-16	3.032486965851993e-17	nan	nan
57235.763750000326	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.736927721692441e-16	2.2401279600537596e-17	nan	nan	1.2683458552380536e-16	2.994511650464669e-17	nan	nan
57235.81375000033	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.779984280838214e-16	2.2508113772825908e-17	nan	nan	1.2851617184397047e-16	2.956772431364695e-17	nan	nan
57235.86375000033	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.823036946514566e-16	2.261505296180941e-17	nan	nan	1.302052527065566e-16	2.9192754816073853e-17	nan	nan
57235.913750000334	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.866084469739575e-16	2.27219528471834e-17	nan	nan	1.319018547806746e-16	2.8820271322519323e-17	nan	nan
57235.96375000034	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.909125601020335e-16	2.282868246775282e-17	nan	nan	1.336060048212331e-16	2.845033876079179e-17	nan	nan
57236.01375000034	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.952159090328553e-16	2.2935124448322078e-17	nan	nan	1.3531772966916486e-16	2.808302371235975e-17	nan	nan
57236.06375000034	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.995183687076296e-16	2.304117515226659e-17	nan	nan	1.3703705625174177e-16	2.7718394447730048e-17	nan	nan
57236.113750000346	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.038198140091268e-16	2.314674476452299e-17	nan	nan	1.387640115827822e-16	2.735652096051726e-17	nan	nan
57236.16375000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.081201197592601e-16	2.3251757309644283e-17	nan	nan	1.4049862276297624e-16	2.6997474999814436e-17	nan	nan
57236.21375000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.124191607166151e-16	2.3356150608705297e-17	nan	nan	1.4224091698008377e-16	2.6641330100470497e-17	nan	nan
57236.263750000355	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.16716811574019e-16	2.3459876178641578e-17	nan	nan	1.4399092150924423e-16	2.6288161610843657e-17	nan	nan
57236.31375000036	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.210129469560884e-16	2.35628990770609e-17	nan	nan	1.4574866371321694e-16	2.5938046717571626e-17	nan	nan
