MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	atlas_c	atlas_c_err	atlas_o	atlas_o_err
58064.43750000027	nan	nan	nan	nan	nan	nan	1.5926223791925797e-16	7.828969774986155e-18	nan	nan	nan	nan	2.5803326272821838e-16	1.5840207377524326e-17
58064.48750000027	nan	nan	nan	nan	nan	nan	1.609171683306722e-16	7.850002876957768e-18	nan	nan	nan	nan	2.6206299036030173e-16	1.5957755474727638e-17
58064.537500000275	nan	nan	nan	nan	nan	nan	1.6257349527794445e-16	7.871457612232922e-18	nan	nan	nan	nan	2.6607321693848256e-16	1.6070707896540952e-17
58064.58750000028	nan	nan	nan	nan	nan	nan	1.6423112739405717e-16	7.893295700948311e-18	nan	nan	nan	nan	2.700636265931563e-16	1.6179271225627545e-17
58064.63750000028	nan	nan	nan	nan	nan	nan	1.658899733223177e-16	7.91549462679866e-18	nan	nan	nan	nan	2.740345528071426e-16	1.6283434400289966e-17
58064.687500000284	nan	nan	nan	nan	nan	nan	1.6754994171459748e-16	7.938047219578557e-18	nan	nan	nan	nan	2.779863506860535e-16	1.6383193457338338e-17
58064.73750000029	nan	nan	nan	nan	nan	nan	1.6921094122954927e-16	7.960961161869243e-18	nan	nan	nan	nan	2.8191937490499045e-16	1.647856085183546e-17
58064.78750000029	nan	nan	nan	nan	nan	nan	1.7087288053083915e-16	7.984258422250832e-18	nan	nan	nan	nan	2.858339797155259e-16	1.656956680187414e-17
58064.83750000029	nan	nan	nan	nan	nan	nan	1.725356682853717e-16	8.00797461655919e-18	nan	nan	nan	nan	2.8973051895269917e-16	1.6656260520554506e-17
58064.887500000295	nan	nan	nan	nan	nan	nan	1.7419921316151267e-16	8.032158297875402e-18	nan	nan	nan	nan	2.9360934604198603e-16	1.6738711345394265e-17
58064.9375000003	nan	nan	nan	nan	nan	nan	1.7586342382732315e-16	8.056870175369913e-18	nan	nan	nan	nan	2.9747081400629256e-16	1.6817009773366305e-17
58064.9875000003	nan	nan	nan	nan	nan	nan	1.775282089487766e-16	8.082182261725534e-18	nan	nan	nan	nan	3.0131527547289144e-16	1.6891268407563405e-17
58065.037500000304	nan	nan	nan	nan	nan	nan	1.791934771879913e-16	8.108176948595714e-18	nan	nan	nan	nan	3.0514308268040993e-16	1.6961622819541594e-17
58065.08750000031	nan	nan	nan	nan	nan	nan	1.8085913720145712e-16	8.13494600962853e-18	nan	nan	nan	nan	3.0895458748575365e-16	1.7028232329280526e-17
58065.13750000031	nan	nan	nan	nan	nan	nan	1.8252509763825645e-16	8.162589530731619e-18	nan	nan	nan	nan	3.127501413710824e-16	1.709128070269289e-17
58065.18750000031	nan	nan	nan	nan	nan	nan	1.8419126713829745e-16	8.191214767672188e-18	nan	nan	nan	nan	3.1653009545073744e-16	1.7150976764534016e-17
58065.237500000316	nan	nan	nan	nan	nan	nan	1.8585755433052942e-16	8.220934931753373e-18	nan	nan	nan	nan	3.2029480047818154e-16	1.720755492259611e-17
58065.28750000032	nan	nan	nan	nan	nan	nan	1.8752386796822263e-16	8.251867220115123e-18	nan	nan	nan	nan	3.2404460685290937e-16	1.7261275596939512e-17
58065.33750000032	nan	nan	nan	nan	nan	nan	1.8919013337249167e-16	8.284049334583339e-18	nan	nan	nan	nan	3.277798646274112e-16	1.7312425546046827e-17
58065.387500000325	nan	nan	nan	nan	nan	nan	1.9085630805387508e-16	8.317360898606536e-18	nan	nan	nan	nan	3.3150092351404647e-16	1.736131807963253e-17
58065.43750000033	nan	nan	nan	nan	nan	nan	1.9252235320622954e-16	8.351666698091837e-18	nan	nan	nan	nan	3.3520813289198663e-16	1.7408293146112708e-17
58065.48750000033	nan	nan	nan	nan	nan	nan	1.941882300057088e-16	8.386836162013441e-18	nan	nan	nan	nan	3.389018418141106e-16	1.7453717280861914e-17
58065.53750000033	nan	nan	nan	nan	nan	nan	1.958538996099318e-16	8.422744244290572e-18	nan	nan	nan	nan	3.425823990139055e-16	1.7497983399783627e-17
58065.587500000336	nan	nan	nan	nan	nan	nan	1.9751932315715336e-16	8.459272199476785e-18	nan	nan	nan	nan	3.462501529123713e-16	1.7541510421302066e-17
58065.63750000034	nan	nan	nan	nan	nan	nan	1.991844617654289e-16	8.496308256884278e-18	nan	nan	nan	nan	3.499054516248941e-16	1.758474269886553e-17
58065.68750000034	nan	nan	nan	nan	nan	nan	2.0084927653178595e-16	8.533748198269028e-18	nan	nan	nan	nan	3.5354864296816153e-16	1.7628149245230144e-17
58065.737500000345	nan	nan	nan	nan	nan	nan	2.025137285313926e-16	8.571495844514395e-18	nan	nan	nan	nan	3.571800744670241e-16	1.767222272968297e-17
58065.78750000035	nan	nan	nan	nan	nan	nan	2.0417777881671675e-16	8.609463456841684e-18	nan	nan	nan	nan	3.6080009336136333e-16	1.7717478229595113e-17
58065.83750000035	nan	nan	nan	nan	nan	nan	2.0584138841669971e-16	8.6475720580213e-18	nan	nan	nan	nan	3.644090466129891e-16	1.7764451718893546e-17
58065.88750000035	nan	nan	nan	nan	nan	nan	2.0750451833592395e-16	8.685751678912045e-18	nan	nan	nan	nan	3.6800728091249235e-16	1.781369827773397e-17
58065.93750000036	nan	nan	nan	nan	nan	nan	2.0916712955377196e-16	8.723941535296943e-18	nan	nan	nan	nan	3.7159514268610846e-16	1.786579001039719e-17
58065.98750000036	nan	nan	nan	nan	nan	nan	2.1082918302359722e-16	8.762090139682306e-18	nan	nan	nan	nan	3.751729781025756e-16	1.7921313662167744e-17
58066.03750000036	nan	nan	nan	nan	nan	nan	2.1249063967188685e-16	8.800155352290347e-18	nan	nan	nan	nan	3.7874113307999564e-16	1.7980867930370748e-17
58066.087500000365	nan	nan	nan	nan	nan	nan	2.1415146039742963e-16	8.838104374971932e-18	nan	nan	nan	nan	3.822999532926787e-16	1.8045060470602024e-17
58066.13750000037	nan	nan	nan	nan	nan	nan	2.1581160607047484e-16	8.87591369136011e-18	nan	nan	nan	nan	3.8584978417798474e-16	1.8114504605379804e-17
58066.18750000037	nan	nan	nan	nan	nan	nan	2.1747103753189867e-16	8.913568956053275e-18	nan	nan	nan	nan	3.8939097094318436e-16	1.8189815750132934e-17
