MJD	ZTF_g	ZTF_g_err	ZTF_i	ZTF_i_err	ZTF_r	ZTF_r_err	lascumbres_u'	lascumbres_u'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
59087.95000000011	3.024288220870163e-16	2.5059371191171887e-17	8.225488634271084e-17	8.056083630274632e-18	1.696082493236391e-16	4.1778203633097526e-17	6.624744378548284e-16	5.311397728620178e-17	9.996550264912955e-16	1.3872196327835198e-16	3.6674478268782235e-16	5.809251997858397e-17	1.7124533246869817e-16	1.7107409381134102e-17	2.6304978799286106e-16	2.60928115814847e-17	2.51189740508523e-16	2.0631650548054098e-17	3.5795711284926677e-16	9.501211260927114e-17
59088.00000000012	3.1085335840878867e-16	2.553117768857142e-17	8.455023369760071e-17	8.441247148662162e-18	1.7323750855570384e-16	4.1303420642131835e-17	6.715389186066366e-16	4.5915137949534614e-17	1.0071105711110493e-15	1.357556005318949e-16	3.705036702477779e-16	5.674136161869128e-17	1.7124533231170317e-16	1.710740925592342e-17	2.630497881108593e-16	2.6092810462891615e-17	2.511897412625072e-16	2.063164999538475e-17	3.7077608967551537e-16	8.647774774051617e-17
59088.05000000012	3.193121725245685e-16	2.603048052568966e-17	8.685752304823509e-17	8.833511027527193e-18	1.7688117797309062e-16	4.0836509128379526e-17	6.807256032080958e-16	3.908605826078921e-17	1.0146216011675347e-15	1.3298354313372034e-16	3.7429900300059123e-16	5.5485792126390406e-17	1.7124533215362005e-16	1.710740914159315e-17	2.6304978822617757e-16	2.6092809371316564e-17	2.511897420132352e-16	2.063164948241451e-17	3.8394466447510806e-16	7.914286531260423e-17
59088.10000000012	3.278034575516608e-16	2.6552192101781383e-17	8.917647374868964e-17	9.229455891099299e-18	1.8053930191728137e-16	4.0377616573413274e-17	6.900361198998089e-16	3.2832089546468946e-17	1.0221885287862547e-15	1.304150638956963e-16	3.781311217430797e-16	5.4330099174409004e-17	1.7124533199444944e-16	1.7107409038143424e-17	2.6304978833881576e-16	2.609280830676032e-17	2.51189742760708e-16	2.0631649009141412e-17	3.9747134508159616e-16	7.33904937621423e-17
59088.150000000125	3.3632540745816397e-16	2.7091702018407848e-17	9.150680544640909e-17	9.626275518006876e-18	1.8421192485203212e-16	3.992689012063823e-17	6.994721184104251e-16	2.7510054713963382e-17	1.0298117691483469e-15	1.2805892691913514e-16	3.820003703780255e-16	5.327817758541142e-17	1.7124533183419087e-16	1.710740894557352e-17	2.630497884487737e-16	2.609280726922366e-17	2.511897435049252e-16	2.0631648575566893e-17	4.113648337391272e-16	6.962985526777904e-17
59088.20000000013	3.448762170104172e-16	2.7644865616570254e-17	9.384823807439154e-17	1.0021663682265546e-17	1.8789909136375547e-16	3.948447623206696e-17	7.090352702379714e-16	2.3702898621574416e-17	1.0374917405131993e-15	1.259231804000325e-16	3.859066234696611e-16	5.233195868763687e-17	1.7124533167284475e-16	1.7107408863884158e-17	2.6304978855605164e-16	2.6092806258705813e-17	2.511897442458871e-16	2.0631648181691835e-17	4.256338485435365e-16	6.819705069876127e-17
59088.25000000013	3.534540817205259e-16	2.820798229713987e-17	9.620049184336517e-17	1.0413719500373633e-17	1.9160084616180958e-16	3.905052031759544e-17	7.187272685188087e-16	2.2139195311974546e-17	1.0452285638889678e-15	1.240140969963323e-16	3.8984792937935707e-16	5.148717614489057e-17	1.712453315104108e-16	1.7107408793074977e-17	2.6304978866064937e-16	2.6092805275207558e-17	2.5118974498359247e-16	2.0631647827513577e-17	4.402755162053213e-16	6.913568640619393e-17
59088.300000000134	3.6205719779384706e-16	2.877776749597008e-17	9.856328723397392e-17	1.0800870024492997e-17	1.9531723407883627e-16	3.8625166336272053e-17	7.285475297264272e-16	2.3153534524353694e-17	1.0530192214391539e-15	1.2232803234550292e-16	3.9382189666061626e-16	5.0737641050504983e-17	1.7124533134688903e-16	1.7107408733146092e-17	2.6304978876256684e-16	2.609280431872843e-17	2.511897457180427e-16	2.0631647513034966e-17	4.552683912043571e-16	7.210699026038944e-17
59088.35000000014	3.70683762076537e-16	2.935132128541392e-17	1.0093634498897106e-16	1.1181807761246992e-17	1.9904830007107381e-16	3.820855636931886e-17	7.384878045470693e-16	2.6191428887161922e-17	1.0608588256098398e-15	1.208549607855632e-16	3.97826136408251e-16	5.007668691741561e-17	1.7124533118227994e-16	1.710740868409716e-17	2.6304978886180416e-16	2.6092803389268896e-17	2.5118974644923707e-16	2.0631647238252807e-17	4.705895383644986e-16	7.663733849434745e-17
59088.40000000014	3.7933197200306125e-16	2.9926095773967157e-17	1.0331938610541788e-16	1.1555440591240329e-17	2.0279408921864586e-16	3.7800830164883994e-17	7.485382580814464e-16	3.041343355703775e-17	1.0687424661625233e-15	1.1958376622472606e-16	4.0185826194998163e-16	4.949727513353791e-17	1.7124533101658318e-16	1.7107408645928644e-17	2.630497889583612e-16	2.6092802486829268e-17	2.511897471771747e-16	2.0631647003169585e-17	4.862161894922657e-16	8.225506027162518e-17
